date,market,level,side,match,pinn_fair_odds,pinn_vig,best_book,best_price,value,won
2025-09-01,Home/Away,slam,Home,N. Djokovic vs J-L. Struff,1.2057,0.0394,Marathon,1.17,-0.02959,true
2025-09-01,Home/Away,slam,Away,N. Djokovic vs J-L. Struff,5.8621,0.0394,Unibet,5.75,-0.01912,false
2025-09-01,Home/Away (1st Set),slam,Home,N. Djokovic vs J-L. Struff,1.3818,0.0312,Marathon,1.36,-0.01575,true
2025-09-01,Home/Away (1st Set),slam,Away,N. Djokovic vs J-L. Struff,3.6194,0.0312,1xBet,3.53,-0.0247,false
2025-09-01,Home/Away,slam,Home,T. Machac vs T. Fritz,3.4203,0.024,Marathon,3.26,-0.04686,false
2025-09-01,Home/Away,slam,Away,T. Machac vs T. Fritz,1.4132,0.024,1xBet,1.4,-0.00932,true
2025-09-01,Home/Away (1st Set),slam,Home,T. Machac vs T. Fritz,2.522,0.0422,Betano,2.57,0.01903,false
2025-09-01,Home/Away (1st Set),slam,Away,T. Machac vs T. Fritz,1.657,0.0422,1xBet,1.54,-0.07062,true
2025-09-01,Home/Away,slam,Home,L. Musetti vs J. Munar,1.5087,0.0263,1xBet,1.46,-0.03225,true
2025-09-01,Home/Away,slam,Away,L. Musetti vs J. Munar,2.966,0.0263,Betano,2.92,-0.0155,false
2025-09-01,Home/Away (1st Set),slam,Home,L. Musetti vs J. Munar,1.6992,0.0298,188bet,1.59,-0.06424,true
2025-09-01,Home/Away (1st Set),slam,Away,L. Musetti vs J. Munar,2.4303,0.0298,Betano,2.47,0.01633,false
2025-09-01,Home/Away,slam,Home,L. Riedi vs A. De Minaur,11.5849,0.0325,10Bet,11,-0.05049,false
2025-09-01,Home/Away,slam,Away,L. Riedi vs A. De Minaur,1.0945,0.0325,Betano,1.07,-0.02236,true
2025-09-01,Home/Away (1st Set),slam,Home,L. Riedi vs A. De Minaur,5.0579,0.0301,188bet,4.65,-0.08064,false
2025-09-01,Home/Away (1st Set),slam,Away,L. Riedi vs A. De Minaur,1.2464,0.0301,Marathon,1.24,-0.00516,true
2025-09-01,Home/Away,slam,Home,F. Auger-Aliassime vs A. Rublev,2.1713,0.0242,188bet,2.12,-0.02361,true
2025-09-01,Home/Away,slam,Away,F. Auger-Aliassime vs A. Rublev,1.8538,0.0242,1xBet,1.82,-0.01822,false
2025-09-01,Home/Away (1st Set),slam,Home,F. Auger-Aliassime vs A. Rublev,2.1081,0.0283,1xBet,2.02,-0.04179,true
2025-09-01,Home/Away (1st Set),slam,Away,F. Auger-Aliassime vs A. Rublev,1.9024,0.0283,1xBet,1.82,-0.04333,false
2025-09-01,Home/Away,slam,Home,E. Rybakina vs M. Vondrousova,1.449,0.0277,bet365,1.4,-0.03385,false
2025-09-01,Home/Away,slam,Away,E. Rybakina vs M. Vondrousova,3.227,0.0277,Unibet,3.1,-0.03934,true
2025-09-01,Home/Away (1st Set),slam,Home,E. Rybakina vs M. Vondrousova,1.563,0.0283,bet365,1.5,-0.04028,false
2025-09-01,Home/Away (1st Set),slam,Away,E. Rybakina vs M. Vondrousova,2.7763,0.0283,Betano,2.67,-0.03829,true
2025-09-01,Home/Away,slam,Home,A. Sabalenka vs C. Bucsa,1.0767,0.0158,Unibet,1.05,-0.0248,true
2025-09-01,Home/Away,slam,Away,A. Sabalenka vs C. Bucsa,14.0377,0.0158,bet365,15,0.06855,false
2025-09-01,Home/Away (1st Set),slam,Home,A. Sabalenka vs C. Bucsa,1.119,0.0266,Marathon,1.12,0.0009,true
2025-09-01,Home/Away (1st Set),slam,Away,A. Sabalenka vs C. Bucsa,9.4037,0.0266,188bet,8.6,-0.08546,false
2025-09-01,Home/Away,slam,Home,M. Kostyuk vs K. Muchova,2.4072,0.0243,bet365,2.3,-0.04453,false
2025-09-01,Home/Away,slam,Away,M. Kostyuk vs K. Muchova,1.7106,0.0243,Unibet,1.7,-0.00622,true
2025-09-01,Home/Away (1st Set),slam,Home,M. Kostyuk vs K. Muchova,2.2514,0.028,Marathon,2.25,-0.00063,false
2025-09-01,Home/Away (1st Set),slam,Away,M. Kostyuk vs K. Muchova,1.7991,0.028,1xBet,1.74,-0.03284,true
2025-09-01,Home/Away,slam,Home,N. Osaka vs C. Gauff,2.2571,0.026,188bet,2.21,-0.02089,true
2025-09-01,Home/Away,slam,Away,N. Osaka vs C. Gauff,1.7955,0.026,Superbet,1.77,-0.01418,false
2025-09-01,Home/Away (1st Set),slam,Home,N. Osaka vs C. Gauff,2.1844,0.0304,188bet,2.12,-0.02946,true
2025-09-01,Home/Away (1st Set),slam,Away,N. Osaka vs C. Gauff,1.8443,0.0304,Marathon,1.74,-0.05657,false
2025-09-01,Home/Away,slam,Home,E. Alexandrova vs I. Swiatek,4.3571,0.0301,1xBet,4.01,-0.07967,false
2025-09-01,Home/Away,slam,Away,E. Alexandrova vs I. Swiatek,1.2979,0.0301,Unibet,1.3,0.00164,true
2025-09-01,Home/Away (1st Set),slam,Home,E. Alexandrova vs I. Swiatek,3.2128,0.0297,bet365,3.2,-0.00397,false
2025-09-01,Home/Away (1st Set),slam,Away,E. Alexandrova vs I. Swiatek,1.4519,0.0297,188bet,1.4,-0.03576,true
2025-09-02,Home/Away,slam,Home,J. Sinner vs A. Bublik,1.1272,0.0341,Betano,1.11,-0.01525,true
2025-09-02,Home/Away,slam,Away,J. Sinner vs A. Bublik,8.8624,0.0341,10Bet,9,0.01553,false
2025-09-02,Home/Away (1st Set),slam,Home,J. Sinner vs A. Bublik,1.3167,0.0368,Marathon,1.29,-0.02028,true
2025-09-02,Home/Away (1st Set),slam,Away,J. Sinner vs A. Bublik,4.1575,0.0368,1xBet,4.34,0.0439,false
2025-09-02,Home/Away,slam,Home,J. Lehecka vs C. Alcaraz,12.7642,0.0236,Marathon,11.25,-0.11863,false
2025-09-02,Home/Away,slam,Away,J. Lehecka vs C. Alcaraz,1.085,0.0236,Unibet,1.07,-0.01383,true
2025-09-02,Home/Away (1st Set),slam,Home,J. Lehecka vs C. Alcaraz,5.225,0.0306,1xBet,5.05,-0.03349,false
2025-09-02,Home/Away (1st Set),slam,Away,J. Lehecka vs C. Alcaraz,1.2367,0.0306,Marathon,1.22,-0.01349,true
2025-09-02,Home/Away,slam,Home,A. Anisimova vs B. Haddad Maia,1.29,0.032,10Bet,1.28,-0.00777,true
