date,match,tournament,firstSet,leg36,leg46,leg57,dutch,overround,outcomes,won
2026-07-06,J. Paolini vs A. Eala,Wimbledon,6:4,7,7,15,2.837837837837838,1.1136507390024013,14,false
2026-07-13,K. Feldbausch vs M. Kecmanovic,Gstaad,1:6,5.55,5.8,13.5,2.343742415662163,1.1843016887993936,14,false
2026-07-20,V. Kopriva vs I. Buse,Kitzbuhel,5:7,6,7,14,2.625,1.171324709236532,14,true
2026-06-22,A. Eala vs E. Mertens,Bad Homburg,3:6,10.75,6.55,15,3.201417042397605,1.0941119737024867,14,true
2026-05-18,S. Baez vs A. Michelsen,Geneva,5:7,7.8,12,18.5,3.765166340508806,1.1075186815391203,14,true
2026-04-20,C. Chidekh vs C. Wong,Gwangju,3:6,6,5.9,15,2.482468443197756,1.2102288871206541,14,true
2026-03-16,H. Shaikh vs A. Falei,W35 Monastir 3,4:6,6,6.5,15,2.5827814569536427,1.1731032110827506,14,true
2026-07-06,A. Krueger vs M. Kostyuk,Wimbledon,4:6,6,6,13.2,2.4444444444444446,1.1793273604494625,14,true
2026-07-13,L. Sonego vs J. J. Schwaerzler,Gstaad,6:4,9.1,13,23,4.342323651452282,1.0946655497349913,14,false
2026-07-20,A. Muller vs M. Navone,Kitzbuhel,4:6,6,5.45,13,2.3415037179840263,1.1453952010293078,14,true
2026-06-22,N. Osaka vs M. Frech,Bad Homburg,6:4,20,9.6,22,5.009487666034155,1.1094443586881706,14,false
2026-05-18,A. Rinderknech vs T. A. Tirante,Geneva,6:4,12,5.7,17,3.148659626320065,1.0539261506040787,14,false
2026-04-20,M. Lajal vs M. Jones,Gwangju,7:5,9.5,9.5,21,3.8737864077669903,1.2173661171750683,14,false
2026-03-16,A. Shepp vs A. Omarkhanov,M15 Monastir 9,6:3,6.5,7,15,2.752016129032258,1.243500171877653,14,false
2026-07-06,M. Bouzkova vs E. Mertens,Wimbledon,4:6,8,6.5,15,2.894248608534323,1.145347116981334,14,true
2026-07-13,D. Stricker vs J. Munar,Gstaad,6:2,5.35,9.5,13,2.7092772936955405,1.058440661167634,14,false
2026-07-20,L. Neumayer vs Y. Hanfmann,Kitzbuhel,6:7,6.3,5.5,15,2.4557051736357196,1.1057399757628592,14,false
2026-06-15,D. Parry vs E. Seidel,Berlin,6:3,12,8.5,23,4.090671316477768,1.0199559394379938,14,false
2026-06-22,C. Tauson vs D. Shnaider,Bad Homburg,6:4,5.7,8.75,15,2.8059071729957807,1.092284033642268,14,false
2026-05-18,S. Tsitsipas vs G. Mpetshi Perricard,Geneva,6:4,11,9.75,25,4.28314696485623,1.1194944007769578,14,false
2026-04-20,P. Bar Biryukov vs G. Brouwer,Shymkent,3:6,6,6.25,13.2,2.484939759036145,1.2058633462943806,14,true
2026-07-06,A. De Minaur vs F. Cobolli,Wimbledon,5:7,12,10,23,4.4089456869009584,1.1454136463090077,14,true
2026-07-13,J. De Jong vs V. Gaubas,Bastad,7:6,10.5,8.5,19.5,3.7854812398042412,1.1763953672325052,14,false
2026-07-20,T. Torres vs N. Basilashvili,Estoril,6:4,5.3,5.8,13,2.283021023765996,1.1871712175134268,14,false
2026-06-22,J-L. Struff vs M. Landaluce,Mallorca,6:3,6.2,6,15,2.5340599455040875,1.1945451671512788,14,false
2026-05-18,T. Atmane vs T. M. Etcheverry,Hamburg,2:6,12,5.35,15,2.968099861303745,1.043795125081378,14,false
2026-04-20,T. Berkieta vs J. Sels,Shymkent,6:4,6.45,7.8,15.5,2.875546213839261,1.1504856953882814,14,false
2026-03-16,E. Butvilas vs M. Kukushkin,Murcia,6:7,9.5,7.7,16,3.3598392421415246,1.1959829855856132,14,false
2026-07-13,D. Dzumhur vs H. Rocha,Umag,6:2,7,8,14.5,2.9689213893967095,1.1110225902681359,14,false
2026-07-20,F. Ferreira Silva vs L. van Assche,Estoril,5:7,6,5.6,13,2.368763557483731,1.1521561962941274,14,true
2026-06-15,M. Timofeeva vs R. Zarazua,Berlin,5:7,9.5,8.5,21,3.6964577656675757,1.0732054117193437,14,true
2026-06-22,E. Quinn vs V. Royer,Mallorca,6:4,9.5,9,21,3.787974683544304,1.1728077698360977,14,false
2026-05-18,F. Cerundolo vs A. De Minaur,Hamburg,6:3,10,8,17.5,3.5443037974683547,1.1963135820022475,14,false
2026-04-20,B. Gadamauri vs S. Cuenin,Shymkent,7:6,8.5,9,19,3.5537897310513444,1.1333157090957209,14,false
2026-03-16,M. Damas vs J. Choinski,Murcia,6:4,7,5.95,13.2,2.586104708594007,1.2074526481324823,14,false
2026-07-13,K. Jacquet vs M. Trungelliti,Umag,2:6,8,6.5,15,2.894248608534323,1.1633943670708375,14,false
2026-07-20,T. Droguet vs C. Ugo Carabelli,Estoril,6:0,11,6.2,15,3.1361128142244024,1.1243383579112893,14,false
2026-06-15,L. Sun vs A. Kalinina,Berlin,4:6,6,6.6,17,2.652482269503546,1.0778037247905548,14,true
