scraped_date,match_date,match_link,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,correct_score_3_6_market,correct_score_4_6_market,correct_score_5_7_market
2026-05-12 01:32:50 UTC,2025-05-11 13:25:00 UTC,https://www.oddsportal.com/tennis/h2h/gaubas-vilius-j3oO3m94/zverev-alexander-dGbUhw9m/#nXbbjXwh,Gaubas V.,Zverev A.,ATP Rome 2025,0,2,"4:6, 0:6",,,,[],[],[]
2026-05-12 01:32:51 UTC,2025-05-10 11:00:00 UTC,https://www.oddsportal.com/tennis/h2h/hurkacz-hubert-zuHOBnY9/martinez-pedro-WtiN88eD/#dzUzYDfc,Martinez P.,Hurkacz H.,ATP Rome 2025,0,2,"1:6, 5:7",,,,[],[],[]
2026-05-12 01:32:50 UTC,2025-05-10 13:55:00 UTC,https://www.oddsportal.com/tennis/h2h/gigante-matteo-r3iKpV0F/mensik-jakub-UFj257G8/#M9uz0j5e,Mensik J.,Gigante M.,ATP Rome 2025,2,0,"7:64, 7:5",,,,[],[],[]
2026-05-12 01:34:28 UTC,2025-05-10 18:45:00 UTC,https://www.oddsportal.com/tennis/h2h/de-minaur-alex-EZgZ9Xfh/nardi-luca-pfrQxVu7/#QPlWMJBF,Nardi L.,De Minaur A.,ATP Rome 2025,0,2,"4:6, 5:7",,,,[],[],[]
2026-05-12 01:34:29 UTC,2025-05-10 09:00:00 UTC,https://www.oddsportal.com/tennis/h2h/bautista-agut-roberto-riOJC5jb/paul-tommy-pd3ye1BS/#KxFXpy7K,Paul T.,Bautista-Agut R.,ATP Rome 2025,2,0,"6:1, 6:4",,,,[],[],[]
2026-05-12 01:34:30 UTC,2025-10-29 13:30:00 UTC,https://www.oddsportal.com/tennis/h2h/ugo-carabelli-camilo-KWdgY7Bq/zverev-alexander-dGbUhw9m/#AHGbCJSb,Ugo Carabelli C.,Zverev A.,ATP Paris,1,2,"7:65, 1:6, 5:7",,,,[],[],[]
2026-05-12 01:36:07 UTC,2025-05-10 09:00:00 UTC,https://www.oddsportal.com/tennis/h2h/ofner-sebastian-h6vs3iR2/tiafoe-frances-AHDLJaph/#QukK6Gv1,Ofner S.,Tiafoe F.,ATP Rome 2025,2,1,"6:2, 62:7, 6:3",,,,[],[],[]
2026-05-12 01:36:08 UTC,2026-02-19 16:40:00 UTC,https://www.oddsportal.com/tennis/h2h/alcaraz-garfia-carlos-UkhgIFEq/khachanov-karen-4bNPtZT5/#lCuPtuTh,Alcaraz C.,Khachanov K.,ATP Doha,2,1,"63:7, 6:4, 6:3",,,,[],[],[]
2026-05-12 01:36:06 UTC,2025-05-12 09:15:00 UTC,https://www.oddsportal.com/tennis/h2h/de-minaur-alex-EZgZ9Xfh/dellien-hugo-fkLRaqYe/#dp1nLuP6,Dellien H.,De Minaur A.,ATP Rome 2025,0,2,"4:6, 4:6",,,,[],[],[]
2026-05-12 01:37:44 UTC,2026-04-12 13:10:00 UTC,https://www.oddsportal.com/tennis/h2h/alcaraz-garfia-carlos-UkhgIFEq/sinner-jannik-6HdC3z4H/#bca9KHiK,Alcaraz C.,Sinner J.,ATP Monte Carlo,0,2,"65:7, 3:6",,,,[],[],[]
